순위,종목명,티커,시장,업종,시가총액,현재가,배당금,배당수익률,배당성향,배당주기,배당안전성,기준일
1,현대엘리베이터,017800,KOSPI,기계·장비,2900654967000.0,74200.0,14010.0,18.88,193.03,연배당,🔴 주의 (과다 배당),2026-09-21
2,케이카,381970,KOSPI,유통,310500593280.0,6360.0,1200.0,18.87,114.29,연배당,🔴 주의 (과다 배당),2026-09-21
3,한국특강,007280,KOSPI,금속,66173507400.0,2310.0,400.0,17.32,384.62,연배당,🔴 주의 (과다 배당),2026-09-21
4,엠앤씨솔루션,484870,KOSPI,기계·장비,498429855000.0,18150.0,2491.0,13.72,150.06,연배당,🔴 주의 (과다 배당),2026-09-21
5,웅진씽크빅,095720,KOSPI,일반서비스,71545300015.0,1259.0,170.0,13.5,,연배당,🔴 주의 (적자 배당),2026-09-21
6,대교우B,019685,KOSPI,일반서비스,9606646555.0,989.0,120.0,12.13,,연배당,🔴 주의 (적자 배당),2026-09-21
7,한세예스24홀딩스,016450,KOSPI,섬유·의류,171800000000.0,4295.0,500.0,11.64,,연배당,🔴 주의 (적자 배당),2026-09-21
8,대덕1우,00806K,KOSPI,기타금융,12632759940.0,10420.0,1160.0,11.13,,연배당,🔴 주의 (적자 배당),2026-09-21
9,대성산업,128820,KOSPI,유통,182072798950.0,4025.0,404.0,10.04,,연배당,🔴 주의 (적자 배당),2026-09-21
10,CR홀딩스,000480,KOSPI,비금속,201863559450.0,4305.0,410.0,9.52,,연배당,🔴 주의 (적자 배당),2026-09-21
11,SB성보,003080,KOSPI,화학,44044000000.0,2200.0,205.0,9.32,11.65,연배당,🟢 안전 (안정적),2026-09-21
12,화승인더,006060,KOSPI,유통,124746600000.0,2255.0,206.0,9.14,52.15,연배당,🟢 안전 (안정적),2026-09-21
13,스카이라이프,053210,KOSPI,오락·문화,190091820000.0,4000.0,350.0,8.75,238.1,연배당,🔴 주의 (과다 배당),2026-09-21
14,HS애드,035000,KOSPI,일반서비스,102432310080.0,6320.0,550.0,8.7,51.31,연배당,🟢 안전 (안정적),2026-09-21
15,무림페이퍼,009200,KOSPI,종이·목재,60707983290.0,1459.0,125.0,8.57,,연배당,🔴 주의 (적자 배당),2026-09-21
16,한양증권우,001755,KOSPI,증권,9102747500.0,19250.0,1650.0,8.57,,연배당,🔴 주의 (적자 배당),2026-09-21
17,한양증권,001750,KOSPI,증권,290102131200.0,19200.0,1600.0,8.33,36.5,연배당,🟢 안전 (안정적),2026-09-21
18,넥스틸,092790,KOSPI,금속,361167780000.0,13890.0,1155.0,8.32,83.33,연배당,🟡 보통 (고배당 주의),2026-09-21
19,진양산업,003780,KOSPI,화학,56485000000.0,4345.0,358.0,8.24,67.04,연배당,🟢 안전 (안정적),2026-09-21
20,부국증권우,001275,KOSPI,증권,90150000000.0,30050.0,2450.0,8.15,,연배당,🔴 주의 (적자 배당),2026-09-21
21,대덕,008060,KOSPI,기타금융,445215404540.0,14230.0,1155.0,8.12,1121.36,연배당,🔴 주의 (과다 배당),2026-09-21
22,제일연마,001560,KOSPI,비금속,67716000000.0,8910.0,721.0,8.09,35.31,연배당,🟢 안전 (안정적),2026-09-21
23,한국철강,104700,KOSPI,금속,342994500000.0,9410.0,750.0,7.97,,연배당,🔴 주의 (적자 배당),2026-09-21
24,DSR제강,069730,KOSPI,금속,77904000000.0,5410.0,430.0,7.95,25.1,연배당,🟢 안전 (안정적),2026-09-21
25,AJ네트웍스,095570,KOSPI,일반서비스,188251477440.0,4160.0,330.0,7.93,51.97,연배당,🟢 안전 (안정적),2026-09-21
26,조선내화,462520,KOSPI,비금속,149849323520.0,12640.0,1000.0,7.91,531.91,연배당,🔴 주의 (과다 배당),2026-09-21
27,교촌에프앤비,339770,KOSPI,유통,190117129400.0,3805.0,300.0,7.88,85.47,연배당,🟡 보통 (고배당 주의),2026-09-21
28,지역난방공사,071320,KOSPI,전기·가스,906615655200.0,78300.0,6157.0,7.86,21.91,연배당,🟢 안전 (안정적),2026-09-21
29,모토닉,009680,KOSPI,운송장비·부품,220808235040.0,10160.0,790.0,7.78,63.3,연배당,🟢 안전 (안정적),2026-09-21
30,유화증권우,003465,KOSPI,증권,51730218000.0,2960.0,230.0,7.77,,연배당,🔴 주의 (적자 배당),2026-09-21
31,경농,002100,KOSPI,화학,176484078000.0,9040.0,700.0,7.74,67.05,연배당,🟢 안전 (안정적),2026-09-21
32,동원시스템즈우,014825,KOSPI,화학,3459854100.0,13100.0,1000.0,7.63,,연배당,🔴 주의 (적자 배당),2026-09-21
33,무림P&P,009580,KOSPI,종이·목재,102658261304.0,1646.0,125.0,7.59,,연배당,🔴 주의 (적자 배당),2026-09-21
34,무학,033920,KOSPI,음식료·담배,213750000000.0,7500.0,566.0,7.55,29.82,연배당,🟢 안전 (안정적),2026-09-21
35,INVENI,015360,KOSPI,일반서비스,393762500000.0,14450.0,1080.0,7.47,26.98,연배당,🟢 안전 (안정적),2026-09-21
36,영보화학,014440,KOSPI,화학,94600000000.0,4730.0,350.0,7.4,40.56,연배당,🟢 안전 (안정적),2026-09-21
37,유화증권,003460,KOSPI,증권,169823732925.0,2995.0,220.0,7.35,96.07,연배당,🟡 보통 (고배당 주의),2026-09-21
38,대교,019680,KOSPI,일반서비스,65983514000.0,1640.0,120.0,7.32,,연배당,🔴 주의 (적자 배당),2026-09-21
39,진양폴리,010640,KOSPI,화학,34485500000.0,2065.0,150.0,7.26,108.7,연배당,🔴 주의 (과다 배당),2026-09-21
40,한솔로지스틱스,009180,KOSPI,운송·창고,77850856125.0,2765.0,200.0,7.23,35.52,연배당,🟢 안전 (안정적),2026-09-21
41,한국쉘석유,002960,KOSPI,화학,657800000000.0,506000.0,36000.0,7.11,97.04,연배당,🟡 보통 (고배당 주의),2026-09-21
42,우성,006980,KOSPI,음식료·담배,56670600000.0,18340.0,1300.0,7.09,25.8,연배당,🟢 안전 (안정적),2026-09-21
43,디씨엠,024090,KOSPI,금속,133038000000.0,11670.0,820.0,7.03,59.9,연배당,🟢 안전 (안정적),2026-09-21
44,제일기획,030000,KOSPI,일반서비스,2013221437500.0,17500.0,1230.0,7.03,60.03,연배당,🟢 안전 (안정적),2026-09-21
45,KISCO홀딩스,001940,KOSPI,금속,377800527000.0,26650.0,1850.0,6.94,,연배당,🔴 주의 (적자 배당),2026-09-21
46,광주신세계,037710,KOSPI,유통,265425585600.0,34800.0,2400.0,6.9,41.17,연배당,🟢 안전 (안정적),2026-09-21
47,한세실업,105630,KOSPI,섬유·의류,348800000000.0,8720.0,600.0,6.88,41.27,연배당,🟢 안전 (안정적),2026-09-21
48,서울보증보험,031210,KOSPI,보험,2911560636600.0,41700.0,2865.0,6.87,74.53,연배당,🟢 안전 (안정적),2026-09-21
49,SJM홀딩스,025530,KOSPI,유통,54807809360.0,3670.0,250.0,6.81,40.26,연배당,🟢 안전 (안정적),2026-09-21
50,HS화성,002460,KOSPI,건설,112360500000.0,11070.0,750.0,6.78,25.72,연배당,🟢 안전 (안정적),2026-09-21
51,KPX케미칼,025000,KOSPI,화학,231802486500.0,55900.0,3750.0,6.71,35.21,연배당,🟢 안전 (안정적),2026-09-21
52,태원물산,001420,KOSPI,운송장비·부품,22686000000.0,2985.0,200.0,6.7,,연배당,🔴 주의 (적자 배당),2026-09-21
53,한솔제지,213500,KOSPI,종이·목재,178742325760.0,7510.0,500.0,6.66,306.75,연배당,🔴 주의 (과다 배당),2026-09-21
54,KCC글라스,344820,KOSPI,비금속,384090813600.0,24050.0,1600.0,6.65,,연배당,🔴 주의 (적자 배당),2026-09-21
55,SNT모티브,064960,KOSPI,운송장비·부품,682084990400.0,25700.0,1700.0,6.61,58.2,연배당,🟢 안전 (안정적),2026-09-21
56,강원랜드,035250,KOSPI,오락·문화,3080743200000.0,14400.0,950.0,6.6,60.43,연배당,🟢 안전 (안정적),2026-09-21
57,삼호개발,010960,KOSPI,건설,74289600000.0,3080.0,200.0,6.49,23.87,연배당,🟢 안전 (안정적),2026-09-21
58,지엠비코리아,013870,KOSPI,운송장비·부품,73428278000.0,3850.0,250.0,6.49,32.81,연배당,🟢 안전 (안정적),2026-09-21
59,진양홀딩스,100250,KOSPI,화학,197131500000.0,3085.0,200.0,6.48,63.9,연배당,🟢 안전 (안정적),2026-09-21
60,SNT홀딩스,036530,KOSPI,기타금융,754869921800.0,46300.0,3000.0,6.48,33.62,연배당,🟢 안전 (안정적),2026-09-21
61,SNT다이내믹스,003570,KOSPI,운송장비·부품,924424976600.0,27800.0,1800.0,6.47,66.77,연배당,🟢 안전 (안정적),2026-09-21
62,이노션,214320,KOSPI,일반서비스,726400000000.0,18160.0,1175.0,6.47,51.22,연배당,🟢 안전 (안정적),2026-09-21
63,삼성카드,029780,KOSPI,기타금융,5057240592150.0,43650.0,2800.0,6.41,46.26,연배당,🟢 안전 (안정적),2026-09-21
64,SIMPAC,009160,KOSPI,금속,308550968960.0,4720.0,300.0,6.36,78.74,연배당,🟡 보통 (고배당 주의),2026-09-21
65,유안타증권우,003475,KOSPI,증권,54896720450.0,4285.0,270.0,6.3,,연배당,🔴 주의 (적자 배당),2026-09-21
66,효성ITX,094280,KOSPI,일반서비스,139623056000.0,12080.0,750.0,6.21,57.74,연배당,🟢 안전 (안정적),2026-09-21
67,다올투자증권,030210,KOSPI,증권,235725980220.0,3870.0,240.0,6.2,37.44,연배당,🟢 안전 (안정적),2026-09-21
68,진도,088790,KOSPI,유통,30248017920.0,2430.0,150.0,6.17,45.45,연배당,🟢 안전 (안정적),2026-09-21
